shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10190,30.329454,-81.672887,10001
10190,30.329300,-81.671994,10002
10190,30.329345,-81.671847,10003
10190,30.329250,-81.671130,10004
10190,30.329250,-81.671130,10005
10190,30.329020,-81.670100,10006
10190,30.328770,-81.668990,10007
10190,30.329510,-81.668770,10008
10190,30.330230,-81.668540,10009
10190,30.330470,-81.669700,10010
10190,30.330700,-81.670690,10011
10190,30.330750,-81.670930,10012
10190,30.330970,-81.671840,10013
10190,30.331000,-81.672000,10014
10190,30.331060,-81.672130,10015
10190,30.331130,-81.672210,10016
10190,30.331210,-81.672280,10017
10190,30.331330,-81.672360,10018
10190,30.331530,-81.672470,10019
10190,30.331860,-81.672650,10020
10190,30.332240,-81.672720,10021
10190,30.332330,-81.672700,10022
10190,30.332420,-81.672660,10023
10190,30.332570,-81.672530,10024
10190,30.332680,-81.672340,10025
10190,30.332990,-81.671440,10026
10190,30.333890,-81.670560,10027
10190,30.334360,-81.670210,10028
10190,30.334470,-81.670130,10029
10190,30.334650,-81.670010,10030
10190,30.335410,-81.669460,10031
10190,30.335800,-81.669190,10032
10190,30.336250,-81.668950,10033
10190,30.336930,-81.668660,10034
10190,30.337400,-81.668470,10035
10190,30.337840,-81.668330,10036
10190,30.338440,-81.668180,10037
10190,30.338970,-81.668080,10038
10190,30.339570,-81.668020,10039
10190,30.340260,-81.667980,10040
10190,30.341930,-81.668010,10041
10190,30.342930,-81.668050,10042
10190,30.343050,-81.668060,10043
10190,30.343720,-81.668090,10044
10190,30.344670,-81.668130,10045
10190,30.347320,-81.668240,10046
10190,30.347440,-81.668250,10047
10190,30.350240,-81.668340,10048
10190,30.351520,-81.668370,10049
10190,30.351620,-81.668370,10050
10190,30.353550,-81.668420,10051
10190,30.354260,-81.668440,10052
10190,30.355590,-81.668470,10053
10190,30.355970,-81.668490,10054
10190,30.356100,-81.668490,10055
10190,30.356440,-81.668500,10056
10190,30.359110,-81.668560,10057
10190,30.361450,-81.668620,10058
10190,30.362450,-81.668650,10059
10190,30.364870,-81.668710,10060
10190,30.365000,-81.668720,10061
10190,30.367780,-81.668790,10062
10190,30.368270,-81.668800,10063
10190,30.368770,-81.668820,10064
10190,30.371210,-81.668890,10065
10190,30.371790,-81.668980,10066
10190,30.372250,-81.669100,10067
10190,30.372700,-81.669250,10068
10190,30.373360,-81.669550,10069
10190,30.373790,-81.669790,10070
10190,30.374000,-81.669930,10071
10190,30.374740,-81.670470,10072
10190,30.375230,-81.670830,10073
10190,30.376990,-81.672140,10074
10190,30.377790,-81.672730,10075
10190,30.378270,-81.673010,10076
10190,30.378590,-81.673170,10077
10190,30.378860,-81.673280,10078
10190,30.379320,-81.673410,10079
10190,30.379570,-81.673450,10080
10190,30.379870,-81.673490,10081
10190,30.380070,-81.673500,10082
10190,30.380260,-81.673500,10083
10190,30.380550,-81.673480,10084
10190,30.380660,-81.673470,10085
10190,30.381020,-81.673410,10086
10190,30.381400,-81.673300,10087
10190,30.381770,-81.673160,10088
10190,30.382060,-81.673020,10089
10190,30.382350,-81.672840,10090
10190,30.382540,-81.672720,10091
10190,30.382660,-81.672620,10092
10190,30.382780,-81.672510,10093
10190,30.383120,-81.672210,10094
10190,30.383690,-81.671600,10095
10190,30.384450,-81.670750,10096
10190,30.385210,-81.669940,10097
10190,30.385570,-81.669620,10098
10190,30.385920,-81.669340,10099
10190,30.386380,-81.669000,10100
10190,30.386910,-81.668690,10101
10190,30.387550,-81.668380,10102
10190,30.388150,-81.668150,10103
10190,30.388530,-81.668040,10104
10190,30.388940,-81.667940,10105
10190,30.389490,-81.667850,10106
10190,30.389830,-81.667820,10107
10190,30.390080,-81.667810,10108
10190,30.390650,-81.667790,10109
10190,30.392390,-81.667840,10110
10190,30.392500,-81.667840,10111
10190,30.394920,-81.667920,10112
10190,30.395010,-81.667920,10113
10190,30.395500,-81.667930,10114
10190,30.396230,-81.667950,10115
10190,30.396490,-81.667960,10116
10190,30.396930,-81.667940,10117
10190,30.397380,-81.667860,10118
