stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0001,,"Maine St. & Patrol Rd.",,  30.398733, -81.412609,,,0,
0003,,"Maine St. & Lamp Ave.",,  30.390350, -81.415000,,,0,
0004,,"4200 Ocean St.",,  30.387385, -81.433670,,,0,
0005,,"4200 Ocean St.",,  30.387731, -81.433586,,,0,
0006,,"Ocean St. & Pearl St.",,  30.391752, -81.431557,,,0,
0008,,"Ocean St. & Palmer St.",,  30.394376, -81.429899,,,0,
0011,,"Massey Ave. & Bryce Canyon Rd.",,  30.387747, -81.409791,,,0,
0014,,"Baltimore St. &  Massey Ave.",,  30.389340, -81.398821,,,0,
0016,,"Bailey Ave. & Supply St.",,  30.390555, -81.405640,,,0,
0018,,"Mayport Rd. & Wonderwood Dr.",,  30.372082, -81.410559,,,0,
0019,,"2965 Mayport Rd.",,  30.371770, -81.410250,,,0,
0020,,"2873 Mayport Rd.",,  30.368730, -81.410820,,,0,
0023,,"Mayport Rd. & Pioneer Dr.",,  30.367579, -81.411305,,,0,
0024,,"Mayport Rd. & Pioneer Dr.",,  30.367308, -81.411167,,,0,
0026,,"2701 Mayport Rd.",,  30.364030, -81.411750,,,0,
0027,,"2746 Mayport Rd.",,  30.364596, -81.411911,,,0,
0028,,"2746 Mayport Rd.",,  30.360160, -81.418180,,,0,
0029,,"2667 Mayport Rd.",,  30.361450, -81.412280,,,0,
0031,,"Old Mayport Rd. & Mazama Rd.",,  30.361900, -81.412370,,,0,
0032,,"Mayport Rd. & Quad Ct.",,  30.359940, -81.412780,,,0,
0033,,"Mayport Rd. & Americas Cup Dr.",,  30.359634, -81.412702,,,0,
0034,,"Mayport Rd. & Mayport Crossing Blvd.",,  30.357230, -81.413290,,,0,
0035,,"Mayport Rd. & Mayport Crossing Blvd.",,  30.357080, -81.413140,,,0,
0036,,"2610 Mayport Rd.",,  30.358290, -81.416090,,,0,
0037,,"2553 Mayport Rd.",,  30.358052, -81.415440,,,0,
0038,,"2525 Mayport Rd.",,  30.356973, -81.414115,,,0,
0039,,"Mayport Rd. & Schooners Bay Dr.",,  30.359720, -81.417840,,,0,
0040,,"Mayport Rd. & Shangri-La Dr.",,  30.361260, -81.419760,,,0,
0041,,"2787 Mayport Rd.",,  30.363430, -81.422206,,,0,
0042,,"2812 Mayport Rd.",,  30.364000, -81.423170,,,0,
0043,,"2879 Mayport Rd.",,  30.365073, -81.424254,,,0,
0044,,"Wonderwood Dr. & Mayport Rd.",,  30.365943, -81.425942,,,0,
0045,,"Wonderwood Dr. & Bayshore Dr.",,  30.366066, -81.424457,,,0,
0046,,"Wonderwood Dr. & E Bayshore Dr.",,  30.366460, -81.423770,,,0,
0047,,"Wonderwood Dr. & W. Regas Dr.",,  30.366830, -81.420960,,,0,
0048,,"Wonderwood Dr. & E. Regas Dr.",,  30.367685, -81.417650,,,0,
0049,,"Wonderwood Dr. & Apollo Dr.",,  30.369490, -81.413260,,,0,
0050,,"Wonderwood Dr. & Apollo Dr.",,  30.369870, -81.413060,,,0,
0051,,"A1A & Wonderwood Dr.",,  30.366790, -81.426890,,,0,
0052,,"Mayport Rd. & Assisi Ln.",,  30.353840, -81.413820,,,0,
0054,,"2294 Mayport Rd.",,  30.351140, -81.413690,,,0,
0055,,"2397 Mayport Rd.",,  30.351160, -81.413550,,,0,
0056,,"Mayport Rd. & Fairway Villas Dr.",,  30.346330, -81.413320,,,0,
0057,,"Mayport Rd. & Fairway Villas Dr.",,  30.347000, -81.413580,,,0,
0058,,"2122 Mayport Rd.",,  30.344150, -81.413480,,,0,
0059,,"Mayport Rd. & Church Rd.",,  30.340770, -81.413330,,,0,
0061,,"Mayport Rd. & Stanley Rd.",,  30.337240, -81.413970,,,0,
0062,,"Mayport Rd. & Levy Rd.",,  30.335560, -81.414960,,,0,
0063,,"Mayport Rd. & Donner Rd.",,  30.335160, -81.414870,,,0,
0070,,"Mayport Rd. & S. Saratoga Cir.",,  30.328480, -81.417690,,,0,
0074,,"Atlantic Blvd. & Mayport Rd.",,  30.324180, -81.418970,,,0,
0075,,"Atlantic Blvd. & Mayport Rd.",,  30.324520, -81.418560,,,0,
0076,,"1082 Atlantic Blvd.",,  30.324260, -81.416610,,,0,
0077,,"1087 Atlantic Blvd.",,  30.324520, -81.416420,,,0,
0082,,"Atlantic Blvd. & Penman Rd.",,  30.324336, -81.409249,,,0,
0108,,"Beach Blvd. & Penman Rd.",,  30.288028, -81.405021,,,0,
0109,,"Beach Blvd. & Penman Rd. fs wb",,  30.288255, -81.406252,,,0,
0144,,"South Beach Regional 4",,  30.257470, -81.389330,,,0,
0145,,"South Beach Mall 2",,  30.255400, -81.391320,,,0,
0147,,"S. 3rd St. & S. 35th Ave.",,  30.261450, -81.386940,,,0,
0148,,"S. 3rd St. & S. 35th Ave.",,  30.262010, -81.387260,,,0,
0149,,"S. 3rd St. & S. 33rd Ave.",,  30.263323, -81.387586,,,0,
0150,,"S. 3rd St. & S. 33rd Ave.",,  30.263660, -81.388030,,,0,
