GEOID,NAME,total_popE,total_popM,total_hhsE,total_hhsM,no_vehE,no_vehM,hh_1vehicleE,hh_1vehicleM,hh_2vehicleE,hh_2vehicleM,hh_3vehicleE,hh_3vehicleM,hh_4vehicle_plusE,hh_4vehicle_plusM,inc_lt_10kE,inc_lt_10kM,inc_btw_10k_15kE,inc_btw_10k_15kM,inc_btw_15k_20kE,inc_btw_15k_20kM,inc_btw_20k_25kE,inc_btw_20k_25kM,inc_btw_25k_30kE,inc_btw_25k_30kM,inc_btw_30k_35kE,inc_btw_30k_35kM,inc_btw_35k_40kE,inc_btw_35k_40kM,inc_btw_40k_45kE,inc_btw_40k_45kM,inc_btw_45k_50kE,inc_btw_45k_50kM,inc_btw_50k_60kE,inc_btw_50k_60kM,inc_btw_60k_75kE,inc_btw_60k_75kM,inc_btw_75k_100kE,inc_btw_75k_100kM,inc_btw_100k_125kE,inc_btw_100k_125kM,inc_btw_125k_150kE,inc_btw_125k_150kM,inc_btw_150k_200kE,inc_btw_150k_200kM,inc_gt_200kE,inc_gt_200kM,hh_1personE,hh_1personM,hh_2personE,hh_2personM,hh_3personE,hh_3personM,hh_4person_plusE,hh_4person_plusM,geometry,area,pop_den,pop_den1
12019030704,"Census Tract 307.04, Clay County, Florida",5876,871,1887,259,0,20,116,85,862,240,652,210,257,139,12,22,0,20,0,20,72,100,0,20,57,53,17,29,31,40,24,44,122,122,138,117,113,101,132,85,254,164,326,178,589,203,59,64,755,215,353,175,720,252,"list(list(c(-81.77076, -81.764452, -81.763858, -81.756782, -81.753528, -81.753983, -81.75, -81.747403, -81.741731, -81.738364, -81.735395, -81.727506, -81.72749, -81.72749, -81.72732, -81.72624, -81.73781, -81.7405, -81.74186, -81.746324, -81.746792, -81.748379, -81.75271, -81.76927, -81.77076, 30.1029, 30.107098, 30.10714, 30.112335, 30.117674, 30.1217, 30.122896, 30.124999, 30.128029, 30.131819, 30.134658, 30.123152, 30.1209, 30.11217, 30.10385, 30.10209, 30.10181, 30.10154, 30.10128, 30.099908, 
30.099744, 30.099395, 30.10055, 30.10023, 30.1029)))",8961268.66267301,0.000655710728155681,655.7107281556806
12031012704,"Census Tract 127.04, Duval County, Florida",5877,976,1964,233,264,202,696,146,753,158,242,81,9,14,193,118,86,83,110,92,103,69,60,53,46,46,147,67,93,72,167,184,175,63,294,90,166,77,160,89,51,46,56,53,57,63,403,126,626,167,446,229,489,127,"list(list(c(-81.789658, -81.787373, -81.785546, -81.781273, -81.772236, -81.773367, -81.77325, -81.773159, -81.773052, -81.777174, -81.781552, -81.781609, -81.780648, -81.780702, -81.785942, -81.78963, -81.789583, -81.78834, -81.78959, -81.789658, 30.268984, 30.26857, 30.269605, 30.269676, 30.269762, 30.268634, 30.259405, 30.255333, 30.248265, 30.248204, 30.248141, 30.252473, 30.253412, 30.255173, 30.255075, 30.255007, 30.262272, 30.262385, 30.264935, 30.268984)))",3100284.79099058,0.0018956323035479,1895.6323035479024
12031011300,"Census Tract 113, Duval County, Florida",3185,645,1142,207,113,62,548,206,236,90,157,82,88,66,136,74,128,162,122,66,67,50,32,41,61,47,48,51,58,48,50,51,91,76,207,106,19,24,10,16,20,33,37,30,56,72,353,129,323,95,315,183,151,76,"list(list(c(-81.720171, -81.719408, -81.71892, -81.717113, -81.713078, -81.711423, -81.709454, -81.708198, -81.703049, -81.699778, -81.697413, -81.69627, -81.697931, -81.696979, -81.696782, -81.698693, -81.69907, -81.70628, -81.715463, -81.718219, -81.720012, -81.720171, 30.39156, 30.39311, 30.392998, 30.391719, 30.3935, 30.396179, 30.395234, 30.397377, 30.399278, 30.398371, 30.398444, 30.394856, 30.393773, 30.388865, 30.387169, 30.385291, 30.382422, 30.383384, 30.387477, 30.388616, 30.38912, 30.39156
)))",2644007.70978776,0.00120461070828559,1204.6107082855938
12031014336,"Census Tract 143.36, Duval County, Florida",6185,647,2197,146,16,24,480,186,1070,204,459,166,172,93,3,6,21,32,71,74,115,95,15,24,90,85,33,40,91,75,21,34,158,115,199,94,623,203,275,129,215,115,161,87,106,71,403,159,913,196,327,131,554,158,"list(list(c(-81.489797, -81.48636, -81.483173, -81.481717, -81.477388, -81.475434, -81.47379, -81.472432, -81.468544, -81.471779, -81.472176, -81.472988, -81.47609, -81.485726, -81.489332, -81.489364, -81.489628, -81.489797, 30.344077, 30.343895, 30.344616, 30.344446, 30.340748, 30.339081, 30.336156, 30.334015, 30.332765, 30.327842, 30.324829, 30.318258, 30.317604, 30.318851, 30.319373, 30.322221, 30.334484, 30.344077)))",4454194.60779918,0.00138857875432075,1388.578754320753
12031015001,"Census Tract 150.01, Duval County, Florida",5580,913,2104,290,64,95,960,261,663,146,383,129,34,32,131,118,77,87,128,119,171,114,168,131,182,140,112,105,100,82,63,86,291,157,131,82,201,105,150,95,129,82,46,46,24,33,759,237,486,167,462,169,397,150,"list(list(c(-81.581498, -81.578875, -81.577459, -81.577566, -81.567052, -81.565227, -81.560816, -81.55507, -81.552559, -81.552498, -81.552298, -81.55213, -81.552323, -81.560018, -81.564155, -81.565258, -81.57403, -81.576586, -81.580982, -81.580694, -81.582182, -81.581498, 30.344662, 30.346263, 30.346346, 30.352039, 30.352209, 30.352258, 30.352311, 30.352415, 30.352445, 30.348839, 30.348702, 30.338067, 30.337727, 30.337913, 30.337799, 30.337788, 30.337646, 30.337531, 30.334856, 30.338145, 30.344244, 
30.344662)))",4297200.83468795,0.00129851971426539,1298.5197142653924
12031012300,"Census Tract 123, Duval County, Florida",3955,556,1770,188,180,80,946,171,483,139,115,52,46,45,129,75,48,47,101,75,162,66,54,49,92,75,242,142,47,47,62,43,169,94,219,144,246,109,105,55,39,32,41,41,14,17,646,147,713,211,162,67,249,106,"list(list(c(-81.730602, -81.726374, -81.722095, -81.715134, -81.716859, -81.719239, -81.720032, -81.720637, -81.720704, -81.720668, -81.720672, -81.720557, -81.725965, -81.730344, -81.730402, -81.730445, -81.730538, -81.730602, 30.306877, 30.306771, 30.306677, 30.306658, 30.305513, 30.303851, 30.302879, 30.301385, 30.295625, 30.293291, 30.292034, 30.282187, 30.282163, 30.282128, 30.291955, 30.29525, 30.303162, 30.306877)))",2690074.08310851,0.00147021973291896,1470.219732918958
12031014312,"Census Tract 143.12, Duval County, Florida",5799,1170,2502,406,225,170,711,301,1194,237,313,233,59,67,45,39,53,56,47,65,76,64,217,121,37,36,37,45,112,113,211,185,189,135,384,269,556,218,270,116,40,41,196,171,32,51,894,355,841,245,525,253,242,127,"list(list(c(-81.525906, -81.516097, -81.514674, -81.50512, -81.500648, -81.488954, -81.488822, -81.48868, -81.504877, -81.505712, -81.525694, -81.525809, -81.525906, 30.301164, 30.301506, 30.301662, 30.302117, 30.302144, 30.302229, 30.295554, 30.287329, 30.287151, 30.287143, 30.286915, 30.294533, 30.301164)))",5812136.52590488,0.000997739811195706,997.739811195706
12031014204,"Census Tract 142.04, Duval County, Florida",5514,980,2095,298,47,43,551,176,1027,199,456,286,14,24,11,17,34,34,43,38,0,20,72,62,40,38,28,38,144,97,39,32,143,140,30,29,180,92,108,66,200,106,653,306,370,111,328,96,973,223,493,302,301,77,"list(list(c(-81.42655, -81.422648, -81.421901, -81.420993, -81.420728, -81.420011, -81.421153, -81.407084, -81.405645, -81.399746, -81.39863, -81.397638, -81.396495, -81.395367, -81.395019, -81.394832, -81.39441, -81.399474, -81.400434, -81.402132, -81.40522, -81.407567, -81.409073, -81.422526, -81.428255, -81.42655, 30.260561, 30.266986, 30.268227, 30.271152, 30.274304, 30.275996, 30.288172, 30.2882, 30.288196, 30.288234, 30.288246, 30.283386, 30.277825, 30.272272, 30.270994, 30.270664, 30.256282, 
30.256172, 30.256258, 30.256745, 30.25849, 30.259218, 30.259267, 30.257612, 30.257421, 30.260561)))",8537220.36814392,0.000645877670040606,645.8776700406063
12031012500,"Census Tract 125, Duval County, Florida",3989,561,1805,232,213,129,732,176,633,188,185,95,42,46,254,121,36,32,34,27,103,104,192,101,101,64,32,32,15,19,142,107,173,117,159,91,147,87,207,99,98,82,40,52,72,117,821,228,502,151,246,122,236,107,"list(list(c(-81.747751, -81.745617, -81.743535, -81.74353, -81.740989, -81.741333, -81.73321, -81.730784, -81.733905, -81.734412, -81.738039, -81.737837, -81.739134, -81.740974, -81.740053, -81.74088, -81.747352, -81.747377, -81.747403, -81.747572, -81.747751, 30.28462, 30.284651, 30.284663, 30.282071, 30.282085, 30.277969, 30.273333, 30.268933, 30.266065, 30.264594, 30.263704, 30.26166, 30.26026, 30.26005, 30.261944, 30.262242, 30.262191, 30.263002, 30.263884, 30.270254, 30.28462)))",2619871.13873925,0.00152259397075522,1522.5939707552225
12031012202,"Census Tract 122.02, Duval County, Florida",5058,876,2225,378,361,170,1160,343,459,179,232,236,13,21,144,104,173,150,104,92,153,123,216,102,29,33,211,228,207,122,162,157,66,59,174,125,300,148,174,206,40,57,59,73,13,17,1062,346,537,194,185,105,441,161,"list(list(c(-81.75671, -81.751907, -81.745323, -81.739449, -81.730635, -81.730602, -81.730538, -81.739238, -81.738943, -81.73883, -81.738714, -81.738147, -81.740989, -81.74006, -81.740968, -81.743563, -81.74599, -81.746816, -81.752721, -81.755334, -81.75671, 30.304119, 30.306099, 30.308087, 30.308984, 30.309209, 30.306877, 30.303162, 30.303082, 30.295289, 30.291944, 30.283062, 30.282095, 30.282085, 30.286778, 30.289706, 30.290227, 30.292361, 30.293187, 30.295135, 30.298779, 30.304119)))",3235146.58239697,0.0015634531144652,1563.4531144652042
