from_GEOID,to_GEOID,fare,IVTT,transfer_wait_time,access_walk_time,egress_walk_time,total_time,n_transfers
12031016101,12031016101,NA,NA,NA,NA,NA,NA,NA
12031016101,12031016606,5.25,76.615547,51.5,1.28495,0.464855,154.365341,2
12031016101,12031015702,5.25,60.339485,51.5,1.28495,0.525392,138.149811,2
12031016101,12031014205,5.25,78.027374,43.5,1.28495,0.234755,147.547073,2
12031016101,12031014104,5.25,45.507244,44,1.28495,0.647941,115.94014,2
12031016101,12031016001,5.25,63.435059,51.5,1.28495,1.086181,141.806183,2
12031016101,12031012201,7,43.136749,67,1.28495,0.794419,139.71611,3
12031016101,12031014206,5.25,79.774406,43.5,1.28495,0.115328,149.174683,2
12031016101,12031014103,5.25,74.896637,43.5,1.28495,0.694715,144.876297,2
12031016101,12031014428,1.75,18.100124,0,1.28495,0.410102,38.295177,0
12031016101,12031014426,5.25,40.751194,60.5,1.28495,0.66943,127.705574,2
12031016101,12031014416,3.5,36.475983,19.5,1.28495,0.97,79.730934,1
12031016101,12031014704,7,62.389671,87,1.28495,0.443069,178.617691,3
12031016101,12031014340,5.25,65.001671,44,1.28495,1.275641,136.062256,2
12031016101,12031001401,8.75,34.24966,67.5,1.28495,0.208069,133.742676,4
12031016101,12031014414,3.5,37.708908,20.5,1.28495,0.839039,81.832901,1
12031016101,12031016605,8.75,45.895168,82,1.28495,0.141014,159.821121,4
12031016101,12031014427,3.5,33.564453,32.5,1.28495,0.474106,89.323509,1
12031016101,12031014415,1.75,29.339191,0,1.28495,0.228476,49.352619,0
12031016101,12031013524,10.5,85.148354,115.5,1.28495,0.359785,235.793076,5
12031016101,12031010503,7,59.394161,48,1.28495,0.904019,137.08313,3
12031016101,12031011905,8.75,52.974537,98.5,1.28495,0.874279,184.133774,4
12031016101,12031017101,8.75,57.045845,96.5,1.28495,0.213932,185.54470800000001,4
12031016101,12031017102,8.75,58.607185,96.5,1.28495,0.40245,187.294571,4
12031016101,12031015701,1.75,2.825299,0,1.28495,0.018789,22.629038,0
12031016101,12031010306,7,52.846691,48,1.28495,0.976914,130.608566,3
12031016101,12031000102,8.75,91.070946,62,1.28495,0.689901,185.545792,4
12031016101,12031001402,7,31.211679,52.5,1.28495,0.869853,113.366478,3
12031016101,12031015805,5.25,45.375614,43,1.28495,1.171726,115.332283,2
12031016101,12031016731,3.5,56.249287,29.5,1.28495,0.89693,109.43116,1
12031016101,12031016604,5.25,48.165138,66.5,1.28495,1.226062,141.676132,2
12031016101,12031013906,8.75,99.279343,104.5,1.28495,1.261382,236.825684,4
12031016101,12031017200,7,21.475668,48.5,1.28495,0.476978,99.237595,3
12031016101,12031010402,8.75,80.984085,62,1.28495,0.482144,175.25119,4
12031016101,12031012704,8.75,71.324883,83,1.28495,0.550958,186.660797,4
12031016101,12031016200,5.25,64.542213,59.5,1.28495,0.387652,150.214798,2
12031016101,12031012000,8.75,46.633896,98.5,1.28495,0.874362,177.793213,4
12031016101,12031014312,3.5,23.378044,31,1.28495,0.423976,77.586967,1
12031016101,12019030500,5.25,63.629913,35,1.28495,0.677031,125.091896,2
12031016101,12019030400,5.25,66.726616,35,1.28495,1.148326,128.659897,2
12031016101,12019030304,10.5,85.657608,95.5,1.28495,0.997123,216.939682,5
12031016101,12019030600,NA,NA,NA,NA,NA,NA,NA
12031016101,12031012300,8.75,59.515636,81,1.28495,0.956326,173.256927,4
12031016101,12031002901,7,33.964916,52.5,1.28495,0.89312,116.14299,3
12031016101,12031015100,3.5,54.310829,31,1.28495,1.191023,109.286804,1
12031016101,12031013504,7,58.455105,64,1.28495,1.44936,152.689407,3
12031016101,12031015200,3.5,59.769722,31,1.28495,1.189974,114.744644,1
12031016101,12031000600,5.25,30.24358,38,1.28495,0.772821,94.801346,2
12031016101,12031001000,7,22.947239,48,1.28495,0.228137,99.96032,3
12031016101,12031001100,7,25.823841,48,1.28495,0.610208,103.218994,3
12031016101,12031000700,7,29.512903,70,1.28495,0.796067,129.093918,3
12031016101,12031000800,3.5,13.312387,19.5,1.28495,0.983265,56.580601,1
12031016101,12031000200,7,33.87883,51.5,1.28495,0.499644,114.663422,3
12031016101,12031000300,7,34.614254,51.5,1.28495,1.420649,116.319855,3
12031016101,12031010700,8.75,66.494637,67.5,1.28495,0.798458,166.578033,4
12031016101,12031010800,NA,NA,NA,NA,NA,NA,NA
12031016101,12031010900,7,46.235226,67,1.28495,1.225817,143.245987,3
12031016101,12031011000,8.75,40.273735,67.5,1.28495,0.280586,139.83926400000001,4
12031016101,12031011100,8.75,38.27515,76.5,1.28495,0.395723,146.955811,4
12031016101,12031011200,7,40.921555,67,1.28495,1.37154,138.078049,3
12031016101,12031011300,7,43.34737,67,1.28495,0.388936,139.521255,3
12031016101,12031011400,7,57.444191000000004,52.5,1.28495,0.605136,139.334259,3
12031016101,12031011500,7,36.404346,52.5,1.28495,1.045408,118.734703,3
12031016101,12031011600,7,33.552055,52.5,1.28495,1.309517,116.146523,3
12031016101,12031011800,7,36.915352,53.5,1.28495,0.999085,120.199387,3
12031016101,12031012100,7,37.848194,67,1.28495,1.282425,134.915573,3
12031016101,12031012400,10.5,64.82486,115.5,1.28495,0.672361,215.782166,5
12031016101,12031012500,8.75,80.26387,83,1.28495,1.482308,196.531143,4
12031016101,12031012601,8.75,73.545685,68,1.28495,0.77527,174.105896,4
12031016101,12031012602,7,55.181351,53.5,1.28495,0.097533,137.563843,3
12031016101,12031012800,7,59.874672,53.5,1.28495,0.334013,142.493622,3
12031016101,12031012900,10.5,69.482567,115.5,1.28495,0.809687,220.577209,5
12031016101,12031013000,7,39.910053,64,1.28495,0.825954,133.520966,3
12031016101,12031013100,8.75,107.969017,155,1.28495,1.008093,295.762054,4
12031016101,12031013200,7,51.81422,95,1.28495,0.370111,175.969299,3
12031016101,12031001300,7,30.03364,67.5,1.28495,0.738105,127.056694,3
12031016101,12031001500,7,31.629816,52.5,1.28495,0.477622,113.392387,3
12031016101,12031001600,7,29.544571,52.5,1.28495,0.849617,111.679138,3
12031016101,12031001200,7,26.950214,48,1.28495,0.083273,103.818436,3
12031016101,12031013402,7,47.75856,64,1.28495,1.309426,141.852951,3
12031016101,12031002200,8.75,52.480862,96.5,1.28495,0.729579,181.495392,4
12031016101,12031002300,8.75,48.609543,96.5,1.28495,0.568697,177.463196,4
12031016101,12031013902,5.25,66.804977,44.5,1.28495,1.141401,138.231339,2
12031016101,12031013904,5.25,70.747185,46,1.28495,0.157318,142.689453,2
12031016101,12031014311,5.25,50.608337,47,1.28495,1.220813,124.614098,2
12031016101,12031014800,5.25,68.505638,29,1.28495,0.649478,123.940063,2
12031016101,12031015002,3.5,45.799244,31,1.28495,0.815193,100.399384,1
12031016101,12031015300,7,39.802158,48.5,1.28495,1.413611,118.500717,3
12031016101,12031015400,5.25,53.020836,51.5,1.28495,0.684596,130.990387,2
12031016101,12031015600,5.25,55.802868,43,1.28495,0.552932,125.140755,2
12031016101,12031016300,5.25,74.71788,58.5,1.28495,1.126305,160.12915,2
12031016101,12031002400,8.75,78.763039,94.5,1.28495,1.136265,206.184235,4
12031016101,12031002600,7,27.484062,53.5,1.28495,0.966269,110.735283,3
12031016101,12031002701,8.75,46.839108,67.5,1.28495,1.161777,147.285828,4
12031016101,12031002702,7,31.192755,53.5,1.28495,0.703803,114.181511,3
12031016101,12031016500,7,41.632713,66,1.28495,0.623396,137.041061,3
12031016101,12031002801,7,30.293859,52.5,1.28495,0.269304,111.848114,3
12031016101,12031002802,7,30.369278,67,1.28495,1.103112,127.257339,3
12031016101,12031002902,7,25.992279,52.5,1.28495,0.878259,108.155487,3
12031016101,12031010202,7,79.162674,53,1.28495,1.21836,162.165985,3
12031016101,12031013404,7,46.99593,64,1.28495,1.300668,141.081558,3
12031016101,12031014330,7,108.358162,75,1.28495,0.87486,213.01796,3
12031016101,12031014338,5.25,49.311676,47,1.28495,0.901099,122.997726,2
12031016101,12031002102,8.75,54.625286,96.5,1.28495,0.141131,183.051376,4
